-241305.00;  -169495.00;  290934.00;  -124017.00;  -28129.00;  -523707.00;  -66785.00;  -216133.00;  -219045.00;  -230122.00;  -274995.00;  -519053.00;  -292969.00;  -522241.00;  -771588.00;  -442857.00;  -580126.00;  2097151.00;  4371.00;  1048575.00;  
-237309.00;  -165943.00;  294248.00;  -121614.00;  -26560.00;  -491521.00;  -66164.00;  -213251.00;  -217229.00;  -226417.00;  -270960.00;  -514736.00;  -289303.00;  -518204.00;  -524289.00;  -441653.00;  -578446.00;  727925.00;  3739.00;  278995.00;  
-236346.00;  -164009.00;  298586.00;  -118681.00;  -21149.00;  -519581.00;  -63624.00;  -211564.00;  -211658.00;  -221047.00;  -268229.00;  -510181.00;  -282077.00;  -513440.00;  -769720.00;  -438620.00;  -578340.00;  727222.00;  3803.00;  281555.00;  
-234096.00;  -161297.00;  300127.00;  -117459.00;  -21194.00;  -516212.00;  -62013.00;  -208998.00;  -209664.00;  -219101.00;  -266147.00;  -506043.00;  -278934.00;  -510020.00;  -1.00;  -436256.00;  -577388.00;  727679.00;  3887.00;  279604.00;  
-234543.00;  -161843.00;  303393.00;  -116420.00;  -24387.00;  -517234.00;  -62571.00;  -209746.00;  -208340.00;  -221501.00;  -267269.00;  -504221.00;  -283901.00;  -510054.00;  -768932.00;  -436709.00;  -576926.00;  729121.00;  4398.00;  280655.00;  
-235520.00;  -164191.00;  299231.00;  -116900.00;  -26891.00;  -519250.00;  -67659.00;  -213322.00;  -210283.00;  -196609.00;  -266241.00;  -508948.00;  -285464.00;  -512263.00;  -765212.00;  -436297.00;  -574983.00;  730670.00;  4383.00;  281343.00;  
-239955.00;  -166250.00;  295104.00;  -117107.00;  -26487.00;  -521963.00;  -70490.00;  -215070.00;  -213185.00;  -230638.00;  -271930.00;  -512091.00;  -294662.00;  -516844.00;  -766068.00;  -434181.00;  -574806.00;  729062.00;  4378.00;  281187.00;  
-240138.00;  -168135.00;  294062.00;  -118626.00;  -26380.00;  -524247.00;  -64562.00;  -219218.00;  -215043.00;  -235794.00;  -275612.00;  -516954.00;  -300698.00;  -519565.00;  -765760.00;  -435436.00;  -575785.00;  731582.00;  3165.00;  281072.00;  
-239250.00;  -165174.00;  294767.00;  -117910.00;  -25629.00;  -522797.00;  -66168.00;  -221542.00;  -213767.00;  -233593.00;  -272990.00;  -518040.00;  -292503.00;  -516967.00;  -764880.00;  -433392.00;  -572789.00;  735023.00;  5186.00;  281851.00;  
-236141.00;  -162253.00;  293133.00;  -116955.00;  -24490.00;  -519475.00;  -63468.00;  -215613.00;  -210753.00;  -230960.00;  -271569.00;  -513695.00;  -287077.00;  -511617.00;  -761806.00;  -430561.00;  -574167.00;  734052.00;  4593.00;  282049.00;  
-234487.00;  -161925.00;  294224.00;  -116160.00;  -23159.00;  -514903.00;  -62836.00;  -212433.00;  -203110.00;  -225577.00;  -266345.00;  -510363.00;  -286465.00;  -510008.00;  -761651.00;  -428348.00;  -572787.00;  734848.00;  4059.00;  281990.00;  
-230672.00;  -160734.00;  311295.00;  -112357.00;  -20481.00;  -513684.00;  -60076.00;  -212455.00;  -1.00;  -223268.00;  -264305.00;  -505582.00;  -284937.00;  -503809.00;  -763308.00;  -427620.00;  -573768.00;  8388607.00;  5295.00;  282929.00;  
-225907.00;  -156658.00;  302084.00;  -111547.00;  -17794.00;  -508818.00;  -60195.00;  -212267.00;  -194432.00;  -1.00;  -253953.00;  -496933.00;  -280983.00;  -502617.00;  -761148.00;  -426787.00;  -571240.00;  734335.00;  7135.00;  283135.00;  
-220605.00;  -154648.00;  306202.00;  -107815.00;  -14835.00;  -505948.00;  -55696.00;  -210498.00;  -192864.00;  -213416.00;  -249169.00;  -487785.00;  -266893.00;  -497579.00;  -760227.00;  -424287.00;  -571013.00;  736130.00;  6370.00;  281969.00;  

